 ,Area,IntDen,RawIntDen
1,3.652,2419.703,25179.000
2,5.670,14051.362,146216.000
3,0.192,106.191,1105.000
4,5.574,11000.762,114472.000
5,8.553,5268.396,54822.000
6,6.919,12881.536,134043.000
7,5.574,7048.168,73342.000
8,6.247,12081.599,125719.000
9,0.481,398.527,4147.000
10,2.979,1471.003,15307.000
11,2.210,2118.717,22047.000
12,4.325,1882.311,19587.000
13,4.036,4281.544,44553.000
14,0.769,302.042,3143.000
15,2.595,3663.429,38121.000
16,5.862,9018.027,93840.000
17,5.093,5036.026,52404.000
18,2.691,3129.305,32563.000
19,0.769,962.730,10018.000
20,4.036,3887.823,40456.000
21,13.646,13547.125,140969.000
22,1.345,1709.043,17784.000
23,1.538,1486.860,15472.000
24,6.343,3250.680,33826.000
25,4.997,4521.026,47045.000
26,0.096,91.583,953.000
27,5.093,2631.891,27387.000
28,0.481,257.836,2683.000
29,2.018,1839.258,19139.000
30,0.577,585.826,6096.000
31,3.171,1758.246,18296.000
32,17.971,49747.428,517663.000
33,2.595,2387.797,24847.000
34,8.169,5870.943,61092.000
35,12.301,31036.176,322957.000
36,12.877,18116.969,188522.000
37,5.478,2709.636,28196.000
38,2.210,1391.817,14483.000
39,0.192,66.693,694.000
40,0.769,297.045,3091.000
41,2.306,1306.960,13600.000
42,0.769,306.655,3191.000
43,2.499,1224.218,12739.000
44,5.958,5828.947,60655.000
45,2.883,1654.458,17216.000
46,0.769,347.402,3615.000
47,1.153,1008.858,10498.000
48,8.361,14294.399,148745.000
49,4.132,5033.816,52381.000
50,2.883,2163.212,22510.000
51,18.067,27189.196,282926.000
52,0.192,66.886,696.000
53,4.132,3416.644,35553.000
54,2.114,1571.332,16351.000
55,1.442,784.849,8167.000
56,7.880,20583.761,214191.000
57,4.036,2375.497,24719.000
58,5.670,9899.264,103010.000
59,4.228,2790.649,29039.000
60,2.979,2275.937,23683.000
61,4.901,3795.374,39494.000
62,3.267,1866.647,19424.000
63,1.442,857.597,8924.000
64,0.481,436.967,4547.000
65,0.577,169.905,1768.000
66,1.538,1002.515,10432.000
67,4.228,5432.342,56528.000
68,3.075,3845.250,40013.000
69,1.538,956.772,9956.000
70,9.802,7957.755,82807.000
71,0.961,424.954,4422.000
72,2.306,1446.594,15053.000
73,5.766,8461.031,88044.000
74,2.499,1165.789,12131.000
75,0.288,120.413,1253.000
76,1.345,521.727,5429.000
77,6.247,6289.266,65445.000
78,1.057,902.091,9387.000
79,0.096,65.540,682.000
80,0.865,321.455,3345.000
81,4.901,2289.871,23828.000
82,0.192,165.676,1724.000
83,1.442,1081.510,11254.000
84,10.667,6502.608,67665.000
85,13.838,27917.154,290501.000
86,0.961,338.560,3523.000
87,1.153,686.058,7139.000
88,5.382,8325.338,86632.000
89,1.057,733.243,7630.000
90,1.057,680.484,7081.000
91,8.072,6781.106,70563.000
92,5.958,5387.848,56065.000
93,2.499,1408.538,14657.000
94,0.961,458.878,4775.000
95,0.577,261.488,2721.000
96,1.730,1814.945,18886.000
97,6.054,10434.637,108581.000
98,3.075,1123.794,11694.000
99,3.075,2708.675,28186.000
100,1.538,685.385,7132.000
101,5.189,6306.853,65628.000
102,1.345,804.742,8374.000
103,3.364,1972.261,20523.000
104,3.075,1287.452,13397.000
105,1.730,787.732,8197.000
106,0.384,112.245,1168.000
107,6.631,5338.933,55556.000
108,2.691,1288.605,13409.000
109,0.673,405.158,4216.000
110,6.054,8319.956,86576.000
111,0.769,284.168,2957.000
112,0.577,228.526,2378.000
113,1.153,550.173,5725.000
114,4.901,7241.714,75356.000
115,0.096,29.887,311.000
116,0.288,99.464,1035.000
117,4.036,2960.457,30806.000
118,8.265,7015.206,72999.000
119,1.057,661.937,6888.000
120,0.769,233.331,2428.000
121,2.595,1975.528,20557.000
122,1.442,1005.591,10464.000
123,7.400,10637.792,110695.000
124,6.919,12757.086,132748.000
125,0.192,181.149,1885.000
126,0.384,322.992,3361.000
127,1.442,851.350,8859.000
128,1.153,568.336,5914.000
129,8.072,5677.686,59081.000
130,5.286,6247.271,65008.000
131,1.345,1308.498,13616.000
132,0.577,265.813,2766.000
133,7.688,4309.510,44844.000
134,3.267,3470.652,36115.000
135,4.997,4784.916,49791.000
136,4.997,4789.049,49834.000
137,2.114,1100.153,11448.000
138,0.673,502.988,5234.000
139,0.577,249.283,2594.000
140,0.769,293.105,3050.000
141,2.499,1058.157,11011.000
142,4.325,2603.061,27087.000
143,1.249,558.149,5808.000
144,0.192,65.925,686.000
145,1.730,799.552,8320.000
146,0.288,171.635,1786.000
147,14.799,13202.510,137383.000
148,1.730,613.310,6382.000
149,1.730,742.853,7730.000
150,5.862,3745.306,38973.000
151,0.961,1108.129,11531.000
152,0.481,189.029,1967.000
153,1.538,751.406,7819.000
154,1.538,1203.365,12522.000
155,1.826,1793.130,18659.000
156,0.865,311.172,3238.000
157,1.153,395.548,4116.000
158,1.153,513.366,5342.000
159,1.057,373.829,3890.000
160,0.192,81.973,853.000
161,0.481,277.921,2892.000
162,1.922,832.707,8665.000
163,1.730,2000.610,20818.000
164,0.096,35.077,365.000
165,1.730,1324.354,13781.000
166,0.384,320.109,3331.000
167,1.538,541.620,5636.000
168,1.730,1244.495,12950.000
169,2.403,1695.589,17644.000
170,1.345,489.245,5091.000
171,8.649,11340.764,118010.000
172,0.865,747.947,7783.000
173,0.865,361.913,3766.000
174,1.345,1575.944,16399.000
175,0.288,132.426,1378.000
176,6.535,7459.092,77618.000
177,0.673,466.373,4853.000
178,0.673,270.233,2812.000
179,0.384,194.026,2019.000
180,2.018,755.058,7857.000
181,10.763,8113.821,84431.000
182,1.922,691.055,7191.000
183,0.384,125.026,1301.000
184,0.577,569.393,5925.000
185,2.595,1756.228,18275.000
186,7.304,9418.475,98007.000
187,2.306,1941.701,20205.000
188,12.974,19743.078,205443.000
189,2.403,1180.973,12289.000
